pipeline_id,seq,node_name,role,node_type,state_ut,latitude,longitude,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,name_source,provenance_category
5.12.NGPL,1,Srikakulam,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.12.NGPL,2,Angul,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.07.NGPL,1,Ennore,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.07.NGPL,2,Nellore,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.10.NGPL,1,Kakinada,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.10.NGPL,2,Vijayawada,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.10.NGPL,3,Nellore,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.11.NGPL,1,Kanai Chhata,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,"pipeline_name (PNGRB register), disambiguated by PNGRB NGPL register, 2 December 2022 release (https://www.pngrb.gov.in/data-bank/NGPL-02122022.pdf)",A
5.11.NGPL,2,Panitar,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,"pipeline_name (PNGRB register), disambiguated by PNGRB NGPL register, 2 December 2022 release (https://www.pngrb.gov.in/data-bank/NGPL-02122022.pdf)",A
21.17.NGPL,1,Jamnagar,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
21.17.NGPL,2,Dwarka,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.14.NGPL,1,Hazaribagh,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.14.NGPL,2,Ranchi,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.15.NGPL,1,Gurdaspur,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.15.NGPL,2,Jammu,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
